PKTESTK6,Time,Fissions,totFissions,Power,totPower,Reactivity,feedback,feedback,,RHOPK5, ,Fissions,totFissions,Power,totPower,Reactivity,feedback,feedback
gen=303,(s),(/sec),,(MW),(MW-s),,,($),,,(s),(/sec),,(MW),(MW-s),,,($)
,9.50E-06,6.55E+11,4.72E+06,1.91E-05,1.38E-10,4.51E-03,0.00E+00,0.00E+00,,,9.50E-06,6.45E+11,4.68E+06,1.88E-05,1.37E-10,3.24E-03,0.00E+00,0.00E+00
,9.60E-06,6.58E+11,4.79E+06,1.92E-05,1.40E-10,4.57E-03,0.00E+00,0.00E+00,,,9.60E-06,6.48E+11,4.74E+06,1.89E-05,1.39E-10,3.28E-03,0.00E+00,0.00E+00
,9.70E-06,6.62E+11,4.86E+06,1.93E-05,1.42E-10,4.63E-03,0.00E+00,0.00E+00,,,9.70E-06,6.51E+11,4.80E+06,1.90E-05,1.41E-10,3.32E-03,0.00E+00,0.00E+00
,9.80E-06,6.65E+11,4.92E+06,1.94E-05,1.44E-10,4.69E-03,0.00E+00,0.00E+00,,,9.80E-06,6.54E+11,4.87E+06,1.91E-05,1.43E-10,3.36E-03,0.00E+00,0.00E+00
,9.90E-06,6.68E+11,4.99E+06,1.95E-05,1.46E-10,4.76E-03,0.00E+00,0.00E+00,,,9.90E-06,6.58E+11,4.94E+06,1.92E-05,1.44E-10,3.40E-03,0.00E+00,0.00E+00
,1.00E-05,6.72E+11,5.06E+06,1.96E-05,1.48E-10,4.82E-03,0.00E+00,0.00E+00,,,1.00E-05,6.61E+11,5.00E+06,1.93E-05,1.46E-10,3.44E-03,0.00E+00,0.00E+00
,1.20E-02,6.89E+11,8.17E+09,2.01E-05,2.38E-07,4.91E-03,0.00E+00,0.00E+00,,,1.20E-02,6.61E+11,7.94E+09,1.93E-05,2.31E-07,3.54E-03,0.00E+00,0.00E+00
,2.40E-02,7.07E+11,1.66E+10,2.06E-05,4.83E-07,4.99E-03,0.00E+00,0.00E+00,,,2.40E-02,6.62E+11,1.59E+10,1.93E-05,4.63E-07,3.64E-03,0.00E+00,0.00E+00
,3.60E-02,7.26E+11,2.52E+10,2.12E-05,7.34E-07,5.08E-03,0.00E+00,0.00E+00,,,3.60E-02,6.65E+11,2.38E+10,1.94E-05,6.95E-07,3.74E-03,0.00E+00,0.00E+00
,4.80E-02,7.46E+11,3.40E+10,2.17E-05,9.91E-07,5.17E-03,0.00E+00,0.00E+00,,,4.80E-02,6.69E+11,3.18E+10,1.95E-05,9.28E-07,3.83E-03,0.00E+00,0.00E+00
,6.00E-02,7.65E+11,4.31E+10,2.23E-05,1.26E-06,5.25E-03,0.00E+00,0.00E+00,,,6.00E-02,6.74E+11,3.99E+10,1.97E-05,1.16E-06,3.93E-03,0.00E+00,0.00E+00
,7.20E-02,7.86E+11,5.24E+10,2.29E-05,1.53E-06,5.34E-03,0.00E+00,0.00E+00,,,7.20E-02,6.81E+11,4.80E+10,1.98E-05,1.40E-06,4.03E-03,0.00E+00,0.00E+00
